ï»¿id|name|legend|faction_id|description|
000000705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Mindâs iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|TYR|If your Army Faction is <span class="kwb">TYRANIDS</span>, while a <span class="kwb">TYRANIDS</span> unit from your army is within 6" of one or more friendly <span class="tooltip00281" data-tooltip-content="#tooltip_content00281" data-tooltip-anchor="#tooltip_content00281"><span class="kwb">SYNAPSE</span></span> models, that <span class="kwb">TYRANIDS</span> unit is said to be within Synapse Range of that model and of your army. While a <span class="kwb">TYRANIDS</span> unit from your army is within Synapse Range of your army: <br><ul><li>Each time that unit takes a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a>, take that test on 3D6 instead of 2D6. </li><li>Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack.</li></ul>|
000000705|Synapse|Some Tyranids serve as synaptic conduits or nodal relays through which a portion of the Hive Mindâs iron will flows, overriding the natural instincts of the swarm to direct the teeming warrior-beasts to function as a single, gestalt organism on the battlefield.|GC|If your Army Faction is <span class="kwb">TYRANIDS</span>, while a <span class="kwb">TYRANIDS</span> unit from your army is within 6" of one or more friendly <span class="tooltip00281" data-tooltip-content="#tooltip_content00281" data-tooltip-anchor="#tooltip_content00281"><span class="kwb">SYNAPSE</span></span> models, that <span class="kwb">TYRANIDS</span> unit is said to be within Synapse Range of that model and of your army. While a <span class="kwb">TYRANIDS</span> unit from your army is within Synapse Range of your army: <br><ul><li>Each time that unit takes a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a>, take that test on 3D6 instead of 2D6. </li><li>Each time a model in that unit makes a melee attack, add 1 to the Strength characteristic of that attack.</li></ul>|
000000707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|TYR|If your Army Faction is <span class="kwb">TYRANIDS</span>, once per battle, in either playerâs <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a>. Each time an enemy unit takes such a Battle-shock test, if it is within 6" of one or more <span class="tooltip00281" data-tooltip-content="#tooltip_content00281" data-tooltip-anchor="#tooltip_content00281"><span class="kwb">SYNAPSE</span></span> units from your army, subtract 1 from that test.|
000000707|Shadow in the Warp|Tyranids flood the battlefield with the psychic signature of the hive fleet - an icy, alien dread that gnaws at the minds of their prey and smothers even the most stalwart courage. When faced with such unfathomable horror, many are driven insane or suffer catastrophic neural damage.|GC|If your Army Faction is <span class="kwb">TYRANIDS</span>, once per battle, in either playerâs <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if one or more units from your army with this ability are on the battlefield, you can unleash the Shadow in the Warp. When you do, each enemy unit on the battlefield must take a <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shock test</a>. Each time an enemy unit takes such a Battle-shock test, if it is within 6" of one or more <span class="tooltip00281" data-tooltip-content="#tooltip_content00281" data-tooltip-anchor="#tooltip_content00281"><span class="kwb">SYNAPSE</span></span> units from your army, subtract 1 from that test.|
000003676|Waaagh!|The infamous war cry of the Orks is known and feared throughout the galaxy. When it echoes across the battlefield, bellowed from hundreds or even thousands of greenskin mouths, even the most stalwart warriors fear the onslaught to come. |ORK|If your Army Faction is <span class="kwb">ORKS</span>, once per battle, at the start of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can call a Waaagh!. If you do, until the start of your next Command phase, the Waaagh! is active for your army and:<br><ul><li>Units from your army with this ability are eligible to <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which they <a href="/wh40k10ed/the-rules/core-rules/#Advance-Moves">Advanced</a>.</li><li>Add 1 to the Strength and Attacks characteristics of melee weapons equipped by models from your army with this ability.</li><li>Models from your army with this ability have a 5+ <a href="/wh40k10ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>.</li></ul>|
000008334|Firing Deck|Some transports have firing hatches, ports or platforms from which embarked passengers can shoot.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">FIRING DECK</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some transports have firing hatches, ports or platforms from which embarked passengers can shoot.</p>Some <span class="kwb">TRANSPORT</span> models have âFiring Deck xâ listed in their abilities. Each time such a model is selected to shoot in the <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, you can select up to âxâ models <span class="tooltip00282" data-tooltip-content="#tooltip_content00282"><span class="tt kwbu">embarked</span></span> within it whose units have not already shot this phase. Then, for each of those embarked models, you can select one ranged weapon that embarked model is equipped with (excluding weapons with the <span class="kwb2 bluefont">[ONE SHOT]</span> ability). Until that <span class="kwb">TRANSPORT</span> model has resolved all of its attacks, it counts as being equipped with all of the weapons you selected in this way, in addition to its other weapons. Until the end of the phase, those selected modelsâ units are not eligible to shoot.<br><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li><b>Firing Deck âxâ:</b> Each time this <span class="kwb">TRANSPORT</span> shoots, select one weapon (excluding weapons with the <span class="kwb2 bluefont">[ONE SHOT]</span> ability) from up to âxâ models embarked within it whose units have not shot this phase; this <span class="kwb">TRANSPORT</span> counts as being equipped with those weapons as well. Until the end of the phase, those selected modelsâ units are not eligible to shoot.</li></ul></div></div>|
000008336|Lone Operative|Assassins and other covert agents are difficult to track and pinpoint in the swirling maelstrom of battle.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">LONE OPERATIVE</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Assassins and other covert agents are difficult to track and pinpoint in the swirling maelstrom of battle.</p>Unless part of an Attached unit (see <span class="tooltip00002" data-tooltip-content="#tooltip_content00002"><span class="tt kwbu">Leader</span></span>), this unit can only be selected as the target of a ranged attack if the attacking model is within 12".</div>|
000008337|Stealth|Some warriors are masters of disguise and concealment.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">STEALTH</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some warriors are masters of disguise and concealment.</p>If every model in a unit has this ability, then each time a ranged attack is made against it, subtract 1 from that attackâs <span class="tooltip00010" data-tooltip-content="#tooltip_content00010"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>.</div>|
000008338|Feel No Pain|Some warriors refuse to be laid low, even by what should be fatal wounds.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">FEEL NO PAIN</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">Some warriors refuse to be laid low, even by what should be fatal wounds.</p>Some models have âFeel No Pain x+â listed in their abilities. Each time a model with this ability suffers damage and so would lose a wound (including wounds lost due to <span class="tooltip00106" data-tooltip-content="#tooltip_content00106"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>), roll one D6: if the result is greater than or equal to the number denoted by âxâ, that wound is ignored and is not lost. If a model has more than one Feel No Pain ability, you can only use one of those abilities each time that model suffers damage and so would lose a wound.<br><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li><b>Feel No Pain x+:</b> Each time this model would lose a wound, roll one D6: if the result equals or exceeds âxâ, that wound is not lost.</li></ul></div></div>|
000008339|Deadly Demise|From detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.||<div class="Corner33 abWrap BreakInsideAvoid"><div class="abFlex"><div class="abDiamondWrap"><div class="abDiamond"><div class="abIcon"></div></div></div><div class="abLine"></div><div class="abNameWrap"><div class="abName">DEADLY DEMISE</div></div></div><p style="padding-bottom:8px" class="ShowFluff stratLegend2">From detonating ammo stores to corrosive innards or frenzied death throes, some targets are deadly even in defeat.</p>Some models have âDeadly Demise xâ listed in their abilities. When such a model is <span class="tooltip00001" data-tooltip-content="#tooltip_content00001"><span class="tt kwbu">destroyed</span></span>, roll one D6 before removing it from play (if such a model is a <a href="/wh40k10ed/the-rules/core-rules/#Transports"><span class="kwb">TRANSPORT</span></a>, roll before any embarked models <span class="tooltip00283" data-tooltip-content="#tooltip_content00283"><span class="tt kwbu">disembark</span></span>). On a 6, each unit within 6" of that model suffers a number of <span class="tooltip00106" data-tooltip-content="#tooltip_content00106"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span> denoted by âxâ (if this is a random number, roll separately for each unit within 6").<br><br><div class="redExample"><b>Example:</b> A <span class="kwb">TRANSPORT</span> model with the Deadly Demise D3 ability is destroyed. Before any models disembark and before removing it from play, its controlling player rolls one D6, getting a 6. There are three units within 6" of that destroyed model, so its controlling player rolls one D3 for each of them, inflicting mortal wounds accordingly.</div><br><div class="BreakInsideAvoid frameLight Corner14" style=""><ul class="redSquare"><li><b>Deadly Demise x:</b> When this model is destroyed, roll one D6. On a 6, each unit within 6" suffers âxâ mortal wounds.</li></ul></div></div>|
