ï»¿id|name|type|edition|version|errata_date|errata_link|
000000285|Boarding Actions|Expansion|10|1.1|09.07.2025 0:00:00|https://assets.warhammer-community.com/eng_09-07_warhammer40000_other_rules_boarding_actions_companion-hyatd8cog7-wpqvdzf1mt.pdf|
000000166|Balance Dataslate|Rulebook|10|3.3|07.01.2026 0:00:00|https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_balance_dataslate-apvctstyr0-8etzbxgbhh.pdf|
000000233|Munitorum Field Manual|Expansion|10|3.8|07.01.2026 0:00:00|https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_munitorum_field_manual-foyrvzepji-l3iqvqilei.pdf|
000000259|Imperial Agents|Faction Pack|10|1.2|12.11.2025 0:00:00|https://assets.warhammer-community.com/eng_12-11_wh40k_faction_pack_imperial_agents-knrarjdsgi-w9pj7gfqly.pdf|
000000016|Astra Militarum|Faction Pack|10|1.2|07.01.2026 0:00:00|https://assets.warhammer-community.com/eng_07-01_warhammer_40000_faction_pack_astra_militarum-qvx2k7bxqn-fywelavi4a.pdf|
000000053|Genestealer Cults|Faction Pack|10|1.0|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_genestealer_cults-qytbcd1u66-tch87rzd76.pdf|
000000029|Necrons|Faction Pack|10|1.2|07.01.2026 0:00:00|https://assets.warhammer-community.com/eng_07-01_warhammer_40000_faction_pack_necrons-wgehvvo84t-ijjxadnsk6.pdf|
000000186|Aeldari|Faction Pack|10|1.1|08.12.2025 0:00:00|https://assets.warhammer-community.com/eng_8-12_wh40k_faction_pack_aeldari-myegu0tol8-jrckmom64e.pdf|
000000270|Adeptus Titanicus (Forge World)|Faction Pack|10|1.0|08.10.2025 0:00:00|https://assets.warhammer-community.com/eng_08-10_warhammer40000_faction_pack_adeptus_titanicus-ovucwiw1o6-jmk9dpdulj.pdf|
000000046|Orks|Faction Pack|10|1.0|22.10.2025 0:00:00|https://assets.warhammer-community.com/eng_22-10_warhammer40000_faction_pack_orks-loiadww1to-milklk2d5c.pdf|
